"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"35","Tissue enhanced: bone marrow, brain",1,35,"35-Tissue enhanced: bone marrow, brain","60%-40%","Deep"
"36","Tissue enhanced: bone marrow, brain, lymphoid tissue",1,36,"36-Tissue enhanced: bone marrow, brain, lymphoid tissue","60%-40%","Deep"
"37","Tissue enhanced: bone marrow, gallbladder, salivary gland",1,37,"37-Tissue enhanced: bone marrow, gallbladder, salivary gland","60%-40%","Deep"
"38","Tissue enhanced: bone marrow, intestine",1,38,"38-Tissue enhanced: bone marrow, intestine","60%-40%","Deep"
"39","Tissue enhanced: bone marrow, intestine, salivary gland",1,39,"39-Tissue enhanced: bone marrow, intestine, salivary gland","60%-40%","Deep"
"40","Tissue enhanced: bone marrow, lung, lymphoid tissue",1,40,"40-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","Deep"
"41","Tissue enhanced: bone marrow, lymphoid tissue",11,41,"41-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","Deep"
"42","Tissue enhanced: bone marrow, lymphoid tissue, testis",1,42,"42-Tissue enhanced: bone marrow, lymphoid tissue, testis","60%-40%","Deep"
"43","Tissue enhanced: brain",13,43,"43-Tissue enhanced: brain","60%-40%","Deep"
"44","Tissue enhanced: brain, choroid plexus",1,44,"44-Tissue enhanced: brain, choroid plexus","60%-40%","Deep"
"45","Tissue enhanced: brain, choroid plexus, lung",1,45,"45-Tissue enhanced: brain, choroid plexus, lung","60%-40%","Deep"
"46","Tissue enhanced: brain, heart muscle",1,46,"46-Tissue enhanced: brain, heart muscle","60%-40%","Deep"
"47","Tissue enhanced: brain, intestine",1,47,"47-Tissue enhanced: brain, intestine","60%-40%","Deep"
"48","Tissue enhanced: brain, ovary",1,48,"48-Tissue enhanced: brain, ovary","60%-40%","Deep"
"49","Tissue enhanced: brain, parathyroid gland",1,49,"49-Tissue enhanced: brain, parathyroid gland","60%-40%","Deep"
"50","Tissue enhanced: brain, retina",2,50,"50-Tissue enhanced: brain, retina","60%-40%","Deep"
"51","Tissue enhanced: brain, skeletal muscle, tongue",1,51,"51-Tissue enhanced: brain, skeletal muscle, tongue","60%-40%","Deep"
"52","Tissue enhanced: brain, smooth muscle, urinary bladder",1,52,"52-Tissue enhanced: brain, smooth muscle, urinary bladder","60%-40%","Deep"
"53","Tissue enhanced: brain, testis",1,53,"53-Tissue enhanced: brain, testis","60%-40%","Deep"
"54","Tissue enhanced: breast",1,54,"54-Tissue enhanced: breast","60%-40%","Deep"
"55","Tissue enhanced: breast, fallopian tube, pancreas",1,55,"55-Tissue enhanced: breast, fallopian tube, pancreas","60%-40%","Deep"
"56","Tissue enhanced: breast, intestine, stomach 1",1,56,"56-Tissue enhanced: breast, intestine, stomach 1","60%-40%","Deep"
"57","Tissue enhanced: breast, liver, lymphoid tissue",1,57,"57-Tissue enhanced: breast, liver, lymphoid tissue","60%-40%","Deep"
"58","Tissue enhanced: cervix",2,58,"58-Tissue enhanced: cervix","60%-40%","Deep"
"59","Tissue enhanced: cervix, endometrium 1",2,59,"59-Tissue enhanced: cervix, endometrium 1","60%-40%","Deep"
"60","Tissue enhanced: cervix, endometrium 1, smooth muscle",1,60,"60-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","Deep"
"61","Tissue enhanced: cervix, placenta, urinary bladder",1,61,"61-Tissue enhanced: cervix, placenta, urinary bladder","60%-40%","Deep"
"62","Tissue enhanced: cervix, salivary gland",1,62,"62-Tissue enhanced: cervix, salivary gland","60%-40%","Deep"
"63","Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue",1,63,"63-Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue","60%-40%","Deep"
"64","Tissue enhanced: endometrium 1",3,64,"64-Tissue enhanced: endometrium 1","60%-40%","Deep"
"65","Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle",1,65,"65-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","60%-40%","Deep"
"66","Tissue enhanced: endometrium 1, skeletal muscle",1,66,"66-Tissue enhanced: endometrium 1, skeletal muscle","60%-40%","Deep"
"67","Tissue enhanced: endometrium 1, smooth muscle",1,67,"67-Tissue enhanced: endometrium 1, smooth muscle","60%-40%","Deep"
"68","Tissue enhanced: esophagus",3,68,"68-Tissue enhanced: esophagus","60%-40%","Deep"
"69","Tissue enhanced: esophagus, intestine, salivary gland, urinary bladder",1,69,"69-Tissue enhanced: esophagus, intestine, salivary gland, urinary bladder","60%-40%","Deep"
"70","Tissue enhanced: esophagus, lymphoid tissue",1,70,"70-Tissue enhanced: esophagus, lymphoid tissue","60%-40%","Deep"
"71","Tissue enhanced: esophagus, salivary gland, skin 1, vagina",1,71,"71-Tissue enhanced: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"72","Tissue enhanced: esophagus, skin 1, vagina",1,72,"72-Tissue enhanced: esophagus, skin 1, vagina","60%-40%","Deep"
"73","Tissue enhanced: gallbladder, intestine, kidney",1,73,"73-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","Deep"
"74","Tissue enhanced: gallbladder, salivary gland, urinary bladder",1,74,"74-Tissue enhanced: gallbladder, salivary gland, urinary bladder","60%-40%","Deep"
"75","Tissue enhanced: gallbladder, stomach 1, urinary bladder",1,75,"75-Tissue enhanced: gallbladder, stomach 1, urinary bladder","60%-40%","Deep"
"76","Tissue enhanced: heart muscle",1,76,"76-Tissue enhanced: heart muscle","60%-40%","Deep"
"77","Tissue enhanced: heart muscle, skeletal muscle, tongue",1,77,"77-Tissue enhanced: heart muscle, skeletal muscle, tongue","60%-40%","Deep"
"78","Tissue enhanced: intestine",2,78,"78-Tissue enhanced: intestine","60%-40%","Deep"
"79","Tissue enhanced: intestine, liver",1,79,"79-Tissue enhanced: intestine, liver","60%-40%","Deep"
"80","Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder",1,80,"80-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","Deep"
"81","Tissue enhanced: intestine, parathyroid gland, placenta, prostate",1,81,"81-Tissue enhanced: intestine, parathyroid gland, placenta, prostate","60%-40%","Deep"
"82","Tissue enhanced: intestine, salivary gland",2,82,"82-Tissue enhanced: intestine, salivary gland","60%-40%","Deep"
"83","Tissue enhanced: intestine, urinary bladder",1,83,"83-Tissue enhanced: intestine, urinary bladder","60%-40%","Deep"
"84","Tissue enhanced: kidney",1,84,"84-Tissue enhanced: kidney","60%-40%","Deep"
"85","Tissue enhanced: kidney, liver",1,85,"85-Tissue enhanced: kidney, liver","60%-40%","Deep"
"86","Tissue enhanced: kidney, placenta",1,86,"86-Tissue enhanced: kidney, placenta","60%-40%","Deep"
"87","Tissue enhanced: kidney, skin 1",1,87,"87-Tissue enhanced: kidney, skin 1","60%-40%","Deep"
"88","Tissue enhanced: kidney, urinary bladder",1,88,"88-Tissue enhanced: kidney, urinary bladder","60%-40%","Deep"
"89","Tissue enhanced: liver",4,89,"89-Tissue enhanced: liver","60%-40%","Deep"
"90","Tissue enhanced: liver, lymphoid tissue",1,90,"90-Tissue enhanced: liver, lymphoid tissue","60%-40%","Deep"
"91","Tissue enhanced: liver, lymphoid tissue, salivary gland",1,91,"91-Tissue enhanced: liver, lymphoid tissue, salivary gland","60%-40%","Deep"
"92","Tissue enhanced: liver, pancreas",2,92,"92-Tissue enhanced: liver, pancreas","60%-40%","Deep"
"93","Tissue enhanced: liver, skeletal muscle",1,93,"93-Tissue enhanced: liver, skeletal muscle","60%-40%","Deep"
"94","Tissue enhanced: lung",4,94,"94-Tissue enhanced: lung","60%-40%","Deep"
"95","Tissue enhanced: lung, lymphoid tissue",2,95,"95-Tissue enhanced: lung, lymphoid tissue","60%-40%","Deep"
"96","Tissue enhanced: lymphoid tissue",15,96,"96-Tissue enhanced: lymphoid tissue","60%-40%","Deep"
"97","Tissue enhanced: lymphoid tissue, smooth muscle",1,97,"97-Tissue enhanced: lymphoid tissue, smooth muscle","60%-40%","Deep"
"98","Tissue enhanced: ovary",1,98,"98-Tissue enhanced: ovary","60%-40%","Deep"
"99","Tissue enhanced: ovary, pancreas",1,99,"99-Tissue enhanced: ovary, pancreas","60%-40%","Deep"
"100","Tissue enhanced: pancreas",1,100,"100-Tissue enhanced: pancreas","60%-40%","Deep"
"101","Tissue enhanced: parathyroid gland, testis",1,101,"101-Tissue enhanced: parathyroid gland, testis","60%-40%","Deep"
"102","Tissue enhanced: placenta",4,102,"102-Tissue enhanced: placenta","60%-40%","Deep"
"103","Tissue enhanced: placenta, thyroid gland",1,103,"103-Tissue enhanced: placenta, thyroid gland","60%-40%","Deep"
"104","Tissue enhanced: retina",1,104,"104-Tissue enhanced: retina","60%-40%","Deep"
"105","Tissue enhanced: salivary gland",1,105,"105-Tissue enhanced: salivary gland","60%-40%","Deep"
"106","Tissue enhanced: salivary gland, skin 1",1,106,"106-Tissue enhanced: salivary gland, skin 1","60%-40%","Deep"
"107","Tissue enhanced: skeletal muscle",6,107,"107-Tissue enhanced: skeletal muscle","60%-40%","Deep"
"108","Tissue enhanced: skeletal muscle, tongue",1,108,"108-Tissue enhanced: skeletal muscle, tongue","60%-40%","Deep"
"109","Tissue enhanced: skin 1",2,109,"109-Tissue enhanced: skin 1","60%-40%","Deep"
"110","Tissue enhanced: smooth muscle",1,110,"110-Tissue enhanced: smooth muscle","60%-40%","Deep"
"111","Tissue enhanced: smooth muscle, urinary bladder",1,111,"111-Tissue enhanced: smooth muscle, urinary bladder","60%-40%","Deep"
"112","Tissue enhanced: testis",1,112,"112-Tissue enhanced: testis","60%-40%","Deep"
"113","Tissue enhanced: tongue",1,113,"113-Tissue enhanced: tongue","60%-40%","Deep"
"114","Tissue enhanced: urinary bladder",1,114,"114-Tissue enhanced: urinary bladder","60%-40%","Deep"
"115","Tissue enriched: bone marrow",6,115,"115-Tissue enriched: bone marrow","60%-40%","Deep"
"116","Tissue enriched: bone marrow, Tissue enriched: bone marrow",1,116,"116-Tissue enriched: bone marrow, Tissue enriched: bone marrow","60%-40%","Deep"
"117","Tissue enriched: brain",7,117,"117-Tissue enriched: brain","60%-40%","Deep"
"118","Tissue enriched: endometrium 1",1,118,"118-Tissue enriched: endometrium 1","60%-40%","Deep"
"119","Tissue enriched: epididymis",2,119,"119-Tissue enriched: epididymis","60%-40%","Deep"
"120","Tissue enriched: heart muscle",1,120,"120-Tissue enriched: heart muscle","60%-40%","Deep"
"121","Tissue enriched: intestine",2,121,"121-Tissue enriched: intestine","60%-40%","Deep"
"122","Tissue enriched: kidney",2,122,"122-Tissue enriched: kidney","60%-40%","Deep"
"123","Tissue enriched: liver",8,123,"123-Tissue enriched: liver","60%-40%","Deep"
"124","Tissue enriched: lung",4,124,"124-Tissue enriched: lung","60%-40%","Deep"
"125","Tissue enriched: lymphoid tissue",6,125,"125-Tissue enriched: lymphoid tissue","60%-40%","Deep"
"126","Tissue enriched: pancreas",6,126,"126-Tissue enriched: pancreas","60%-40%","Deep"
"127","Tissue enriched: parathyroid gland",1,127,"127-Tissue enriched: parathyroid gland","60%-40%","Deep"
"128","Tissue enriched: placenta",2,128,"128-Tissue enriched: placenta","60%-40%","Deep"
"129","Tissue enriched: skeletal muscle",2,129,"129-Tissue enriched: skeletal muscle","60%-40%","Deep"
"130","Tissue enriched: stomach 1",1,130,"130-Tissue enriched: stomach 1","60%-40%","Deep"
"131","Tissue enriched: testis",1,131,"131-Tissue enriched: testis","60%-40%","Deep"
"132","Tissue enriched: thyroid gland",1,132,"132-Tissue enriched: thyroid gland","60%-40%","Deep"
