"","...1","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"81",81,"intestine, parathyroid gland, placenta, prostate",1,81,"81-Tissue enhanced: intestine, parathyroid gland, placenta, prostate","60%-40%","Deep"
"82",82,"intestine, salivary gland",2,82,"82-Tissue enhanced: intestine, salivary gland","60%-40%","Deep"
"83",83,"intestine, urinary bladder",1,83,"83-Tissue enhanced: intestine, urinary bladder","60%-40%","Deep"
"84",84,"kidney",1,84,"84-Tissue enhanced: kidney","60%-40%","Deep"
"85",85,"kidney, liver",1,85,"85-Tissue enhanced: kidney, liver","60%-40%","Deep"
"86",86,"kidney, placenta",1,86,"86-Tissue enhanced: kidney, placenta","60%-40%","Deep"
"87",87,"kidney, skin 1",1,87,"87-Tissue enhanced: kidney, skin 1","60%-40%","Deep"
"88",88,"kidney, urinary bladder",1,88,"88-Tissue enhanced: kidney, urinary bladder","60%-40%","Deep"
"89",89,"liver",4,89,"89-Tissue enhanced: liver","60%-40%","Deep"
"90",90,"liver, lymphoid tissue",1,90,"90-Tissue enhanced: liver, lymphoid tissue","60%-40%","Deep"
"91",91,"liver, lymphoid tissue, salivary gland",1,91,"91-Tissue enhanced: liver, lymphoid tissue, salivary gland","60%-40%","Deep"
"92",92,"liver, pancreas",2,92,"92-Tissue enhanced: liver, pancreas","60%-40%","Deep"
"93",93,"liver, skeletal muscle",1,93,"93-Tissue enhanced: liver, skeletal muscle","60%-40%","Deep"
"94",94,"lung",4,94,"94-Tissue enhanced: lung","60%-40%","Deep"
"95",95,"lung, lymphoid tissue",2,95,"95-Tissue enhanced: lung, lymphoid tissue","60%-40%","Deep"
"96",96,"lymphoid tissue",15,96,"96-Tissue enhanced: lymphoid tissue","60%-40%","Deep"
"97",97,"lymphoid tissue, smooth muscle",1,97,"97-Tissue enhanced: lymphoid tissue, smooth muscle","60%-40%","Deep"
"98",98,"ovary",1,98,"98-Tissue enhanced: ovary","60%-40%","Deep"
"99",99,"ovary, pancreas",1,99,"99-Tissue enhanced: ovary, pancreas","60%-40%","Deep"
"100",100,"pancreas",1,100,"100-Tissue enhanced: pancreas","60%-40%","Deep"
"101",101,"parathyroid gland, testis",1,101,"101-Tissue enhanced: parathyroid gland, testis","60%-40%","Deep"
"102",102,"placenta",4,102,"102-Tissue enhanced: placenta","60%-40%","Deep"
"103",103,"placenta, thyroid gland",1,103,"103-Tissue enhanced: placenta, thyroid gland","60%-40%","Deep"
"104",104,"retina",1,104,"104-Tissue enhanced: retina","60%-40%","Deep"
"105",105,"salivary gland",1,105,"105-Tissue enhanced: salivary gland","60%-40%","Deep"
"106",106,"salivary gland, skin 1",1,106,"106-Tissue enhanced: salivary gland, skin 1","60%-40%","Deep"
"107",107,"skeletal muscle",6,107,"107-Tissue enhanced: skeletal muscle","60%-40%","Deep"
"108",108,"skeletal muscle, tongue",1,108,"108-Tissue enhanced: skeletal muscle, tongue","60%-40%","Deep"
"109",109,"skin 1",2,109,"109-Tissue enhanced: skin 1","60%-40%","Deep"
"110",110,"smooth muscle",1,110,"110-Tissue enhanced: smooth muscle","60%-40%","Deep"
"111",111,"smooth muscle, urinary bladder",1,111,"111-Tissue enhanced: smooth muscle, urinary bladder","60%-40%","Deep"
"112",112,"testis",1,112,"112-Tissue enhanced: testis","60%-40%","Deep"
"113",113,"tongue",1,113,"113-Tissue enhanced: tongue","60%-40%","Deep"
"114",114,"urinary bladder",1,114,"114-Tissue enhanced: urinary bladder","60%-40%","Deep"
"115",115,"bone marrow",6,115,"115-Tissue enriched: bone marrow","60%-40%","Deep"
"116",116,"bone marrow",1,116,"116-Tissue enriched: bone marrow, Tissue enriched: bone marrow","60%-40%","Deep"
"117",117,"brain",7,117,"117-Tissue enriched: brain","60%-40%","Deep"
"118",118,"endometrium 1",1,118,"118-Tissue enriched: endometrium 1","60%-40%","Deep"
"119",119,"epididymis",2,119,"119-Tissue enriched: epididymis","60%-40%","Deep"
"120",120,"heart muscle",1,120,"120-Tissue enriched: heart muscle","60%-40%","Deep"
"121",121,"intestine",2,121,"121-Tissue enriched: intestine","60%-40%","Deep"
"122",122,"kidney",2,122,"122-Tissue enriched: kidney","60%-40%","Deep"
"123",123,"liver",8,123,"123-Tissue enriched: liver","60%-40%","Deep"
"124",124,"lung",4,124,"124-Tissue enriched: lung","60%-40%","Deep"
"125",125,"lymphoid tissue",6,125,"125-Tissue enriched: lymphoid tissue","60%-40%","Deep"
"126",126,"pancreas",6,126,"126-Tissue enriched: pancreas","60%-40%","Deep"
"127",127,"parathyroid gland",1,127,"127-Tissue enriched: parathyroid gland","60%-40%","Deep"
"128",128,"placenta",2,128,"128-Tissue enriched: placenta","60%-40%","Deep"
"129",129,"skeletal muscle",2,129,"129-Tissue enriched: skeletal muscle","60%-40%","Deep"
"130",130,"stomach 1",1,130,"130-Tissue enriched: stomach 1","60%-40%","Deep"
"131",131,"testis",1,131,"131-Tissue enriched: testis","60%-40%","Deep"
"132",132,"thyroid gland",1,132,"132-Tissue enriched: thyroid gland","60%-40%","Deep"
"133",1,"Low tissue specificity",1,1,"1-Low tissue specificity","60%-40%","BR_GaussianNB"
"134",2,"esophagus, liver, skin 1",1,2,"2-Tissue enhanced: esophagus, liver, skin 1","60%-40%","BR_GaussianNB"
"135",3,"salivary gland",1,3,"3-Tissue enriched: salivary gland","60%-40%","BR_GaussianNB"
"136",1,"Low tissue specificity",1,1,"1-Low tissue specificity","60%-40%","ClassifierChains"
"137",1,"Low tissue specificity",1,1,"1-Low tissue specificity","60%-40%","LabelPowerSet"
"138",1,"brain, pituitary gland",1,1,"1-Group enriched: brain, pituitary gland","60%-40%","RakelD"
"139",2,"breast, pituitary gland, salivary gland, stomach 1",1,2,"2-Group enriched: breast, pituitary gland, salivary gland, stomach 1","60%-40%","RakelD"
"140",3,"esophagus, lung, salivary gland, stomach 1",1,3,"3-Group enriched: esophagus, lung, salivary gland, stomach 1","60%-40%","RakelD"
"141",4,"intestine, pancreas",1,4,"4-Group enriched: intestine, pancreas","60%-40%","RakelD"
"142",5,"Low tissue specificity",17,5,"5-Low tissue specificity","60%-40%","RakelD"
"143",6,"adrenal gland, liver, pancreas",1,6,"6-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","RakelD"
"144",7,"bone marrow, brain",1,7,"7-Tissue enhanced: bone marrow, brain","60%-40%","RakelD"
"145",8,"bone marrow, lung, lymphoid tissue",1,8,"8-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","RakelD"
"146",9,"bone marrow, lymphoid tissue",2,9,"9-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","RakelD"
"147",10,"bone marrow, stomach 1, urinary bladder",1,10,"10-Tissue enhanced: bone marrow, stomach 1, urinary bladder","60%-40%","RakelD"
"148",11,"brain, parathyroid gland",1,11,"11-Tissue enhanced: brain, parathyroid gland","60%-40%","RakelD"
"149",12,"brain, urinary bladder",1,12,"12-Tissue enhanced: brain, urinary bladder","60%-40%","RakelD"
"150",13,"esophagus, lymphoid tissue",1,13,"13-Tissue enhanced: esophagus, lymphoid tissue","60%-40%","RakelD"
"151",14,"gallbladder, intestine, kidney",1,14,"14-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","RakelD"
"152",15,"heart muscle, liver",1,15,"15-Tissue enhanced: heart muscle, liver","60%-40%","RakelD"
"153",16,"intestine, lymphoid tissue",1,16,"16-Tissue enhanced: intestine, lymphoid tissue","60%-40%","RakelD"
"154",17,"intestine, lymphoid tissue, stomach 1, urinary bladder",1,17,"17-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","RakelD"
"155",18,"intestine, urinary bladder",1,18,"18-Tissue enhanced: intestine, urinary bladder","60%-40%","RakelD"
"156",19,"kidney, urinary bladder",1,19,"19-Tissue enhanced: kidney, urinary bladder","60%-40%","RakelD"
"157",20,"liver, placenta",1,20,"20-Tissue enhanced: liver, placenta","60%-40%","RakelD"
"158",21,"lung",1,21,"21-Tissue enhanced: lung","60%-40%","RakelD"
"159",22,"lung, lymphoid tissue",1,22,"22-Tissue enhanced: lung, lymphoid tissue","60%-40%","RakelD"
"160",23,"lymphoid tissue",4,23,"23-Tissue enhanced: lymphoid tissue","60%-40%","RakelD"
"161",24,"parathyroid gland, testis",1,24,"24-Tissue enhanced: parathyroid gland, testis","60%-40%","RakelD"
"162",25,"seminal vesicle",1,25,"25-Tissue enhanced: seminal vesicle","60%-40%","RakelD"
"163",26,"liver",2,26,"26-Tissue enriched: liver","60%-40%","RakelD"
"164",27,"lung",1,27,"27-Tissue enriched: lung","60%-40%","RakelD"
"165",28,"lymphoid tissue",1,28,"28-Tissue enriched: lymphoid tissue","60%-40%","RakelD"
"166",29,"pancreas",1,29,"29-Tissue enriched: pancreas","60%-40%","RakelD"
"167",30,"parathyroid gland",1,30,"30-Tissue enriched: parathyroid gland","60%-40%","RakelD"
"168",31,"placenta",1,31,"31-Tissue enriched: placenta","60%-40%","RakelD"
"169",32,"salivary gland",1,32,"32-Tissue enriched: salivary gland","60%-40%","RakelD"
"170",1,"Low tissue specificity",1,1,"1-Low tissue specificity","60%-40%","DecisionTree"
"171",1,"breast, pituitary gland, salivary gland, stomach 1",1,1,"1-Group enriched: breast, pituitary gland, salivary gland, stomach 1","60%-40%","HARAM"
"172",2,"Low tissue specificity",7,2,"2-Low tissue specificity","60%-40%","HARAM"
"173",3,"adipose tissue",1,3,"3-Tissue enhanced: adipose tissue","60%-40%","HARAM"
"174",4,"adipose tissue, breast, placenta",1,4,"4-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","HARAM"
"175",5,"adrenal gland, brain, pancreas",1,5,"5-Tissue enhanced: adrenal gland, brain, pancreas","60%-40%","HARAM"
"176",6,"bone marrow, lymphoid tissue",1,6,"6-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","HARAM"
"177",7,"cervix, endometrium 1, smooth muscle",1,7,"7-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","HARAM"
"178",8,"esophagus",1,8,"8-Tissue enhanced: esophagus","60%-40%","HARAM"
"179",9,"esophagus, vagina",1,9,"9-Tissue enhanced: esophagus, vagina","60%-40%","HARAM"
"180",10,"gallbladder, intestine, kidney",1,10,"10-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","HARAM"
"181",11,"lymphoid tissue",1,11,"11-Tissue enhanced: lymphoid tissue","60%-40%","HARAM"
"182",12,"ovary",1,12,"12-Tissue enhanced: ovary","60%-40%","HARAM"
"183",13,"liver",1,13,"13-Tissue enriched: liver","60%-40%","HARAM"
"184",14,"lymphoid tissue",2,14,"14-Tissue enriched: lymphoid tissue","60%-40%","HARAM"
"185",15,"salivary gland",1,15,"15-Tissue enriched: salivary gland","60%-40%","HARAM"
"186",1,"adipose tissue, brain, ovary",1,1,"1-Group enriched: adipose tissue, brain, ovary","60%-40%","SVM"
"187",2,"adrenal gland, pituitary gland",1,2,"2-Group enriched: adrenal gland, pituitary gland","60%-40%","SVM"
"188",3,"bone marrow, brain, lymphoid tissue, thyroid gland",1,3,"3-Group enriched: bone marrow, brain, lymphoid tissue, thyroid gland","60%-40%","SVM"
"189",4,"bone marrow, skeletal muscle",1,4,"4-Group enriched: bone marrow, skeletal muscle","60%-40%","SVM"
"190",5,"brain, epididymis",1,5,"5-Group enriched: brain, epididymis","60%-40%","SVM"
"191",6,"brain, pituitary gland",1,6,"6-Group enriched: brain, pituitary gland","60%-40%","SVM"
"192",7,"esophagus, lung, salivary gland, stomach 1",1,7,"7-Group enriched: esophagus, lung, salivary gland, stomach 1","60%-40%","SVM"
"193",8,"fallopian tube, lung",1,8,"8-Group enriched: fallopian tube, lung","60%-40%","SVM"
"194",9,"intestine, liver",1,9,"9-Group enriched: intestine, liver","60%-40%","SVM"
"195",10,"intestine, lymphoid tissue",2,10,"10-Group enriched: intestine, lymphoid tissue","60%-40%","SVM"
"196",11,"intestine, pancreas",1,11,"11-Group enriched: intestine, pancreas","60%-40%","SVM"
"197",12,"kidney, thyroid gland",1,12,"12-Group enriched: kidney, thyroid gland","60%-40%","SVM"
"198",13,"lymphoid tissue, testis",1,13,"13-Group enriched: lymphoid tissue, testis","60%-40%","SVM"
"199",14,"Low tissue specificity",78,14,"14-Low tissue specificity","60%-40%","SVM"
"200",15,"adipose tissue",1,15,"15-Tissue enhanced: adipose tissue","60%-40%","SVM"
"201",16,"adipose tissue, breast, placenta",1,16,"16-Tissue enhanced: adipose tissue, breast, placenta","60%-40%","SVM"
"202",17,"adipose tissue, skin 1",1,17,"17-Tissue enhanced: adipose tissue, skin 1","60%-40%","SVM"
"203",18,"adipose tissue, tongue",1,18,"18-Tissue enhanced: adipose tissue, tongue","60%-40%","SVM"
"204",19,"adrenal gland, brain, choroid plexus",1,19,"19-Tissue enhanced: adrenal gland, brain, choroid plexus","60%-40%","SVM"
"205",20,"adrenal gland, brain, pancreas",1,20,"20-Tissue enhanced: adrenal gland, brain, pancreas","60%-40%","SVM"
"206",21,"adrenal gland, liver, pancreas",1,21,"21-Tissue enhanced: adrenal gland, liver, pancreas","60%-40%","SVM"
"207",22,"bone marrow",1,22,"22-Tissue enhanced: bone marrow","60%-40%","SVM"
"208",23,"bone marrow, brain",1,23,"23-Tissue enhanced: bone marrow, brain","60%-40%","SVM"
