"","Tissue","Total","Organ_Count","Tissue_Count","Split","Model"
"41","Tissue enhanced: bone marrow, brain",1,41,"41-Tissue enhanced: bone marrow, brain","60%-40%","Deep"
"42","Tissue enhanced: bone marrow, lung, lymphoid tissue",4,42,"42-Tissue enhanced: bone marrow, lung, lymphoid tissue","60%-40%","Deep"
"43","Tissue enhanced: bone marrow, lymphoid tissue",9,43,"43-Tissue enhanced: bone marrow, lymphoid tissue","60%-40%","Deep"
"44","Tissue enhanced: bone marrow, stomach 1, urinary bladder",1,44,"44-Tissue enhanced: bone marrow, stomach 1, urinary bladder","60%-40%","Deep"
"45","Tissue enhanced: brain",12,45,"45-Tissue enhanced: brain","60%-40%","Deep"
"46","Tissue enhanced: brain, choroid plexus",1,46,"46-Tissue enhanced: brain, choroid plexus","60%-40%","Deep"
"47","Tissue enhanced: brain, choroid plexus, lung",1,47,"47-Tissue enhanced: brain, choroid plexus, lung","60%-40%","Deep"
"48","Tissue enhanced: brain, esophagus",1,48,"48-Tissue enhanced: brain, esophagus","60%-40%","Deep"
"49","Tissue enhanced: brain, heart muscle, testis",1,49,"49-Tissue enhanced: brain, heart muscle, testis","60%-40%","Deep"
"50","Tissue enhanced: brain, intestine, testis",1,50,"50-Tissue enhanced: brain, intestine, testis","60%-40%","Deep"
"51","Tissue enhanced: brain, kidney, testis",1,51,"51-Tissue enhanced: brain, kidney, testis","60%-40%","Deep"
"52","Tissue enhanced: brain, liver",2,52,"52-Tissue enhanced: brain, liver","60%-40%","Deep"
"53","Tissue enhanced: brain, lung, lymphoid tissue",1,53,"53-Tissue enhanced: brain, lung, lymphoid tissue","60%-40%","Deep"
"54","Tissue enhanced: brain, pancreas",1,54,"54-Tissue enhanced: brain, pancreas","60%-40%","Deep"
"55","Tissue enhanced: brain, parathyroid gland",2,55,"55-Tissue enhanced: brain, parathyroid gland","60%-40%","Deep"
"56","Tissue enhanced: brain, pituitary gland",1,56,"56-Tissue enhanced: brain, pituitary gland","60%-40%","Deep"
"57","Tissue enhanced: brain, retina",2,57,"57-Tissue enhanced: brain, retina","60%-40%","Deep"
"58","Tissue enhanced: brain, skeletal muscle",1,58,"58-Tissue enhanced: brain, skeletal muscle","60%-40%","Deep"
"59","Tissue enhanced: brain, skeletal muscle, tongue",1,59,"59-Tissue enhanced: brain, skeletal muscle, tongue","60%-40%","Deep"
"60","Tissue enhanced: brain, skin 1",1,60,"60-Tissue enhanced: brain, skin 1","60%-40%","Deep"
"61","Tissue enhanced: brain, smooth muscle, urinary bladder",1,61,"61-Tissue enhanced: brain, smooth muscle, urinary bladder","60%-40%","Deep"
"62","Tissue enhanced: brain, thyroid gland",1,62,"62-Tissue enhanced: brain, thyroid gland","60%-40%","Deep"
"63","Tissue enhanced: brain, urinary bladder",1,63,"63-Tissue enhanced: brain, urinary bladder","60%-40%","Deep"
"64","Tissue enhanced: breast, choroid plexus",1,64,"64-Tissue enhanced: breast, choroid plexus","60%-40%","Deep"
"65","Tissue enhanced: breast, fallopian tube, pancreas",1,65,"65-Tissue enhanced: breast, fallopian tube, pancreas","60%-40%","Deep"
"66","Tissue enhanced: breast, liver, lymphoid tissue",1,66,"66-Tissue enhanced: breast, liver, lymphoid tissue","60%-40%","Deep"
"67","Tissue enhanced: cervix",2,67,"67-Tissue enhanced: cervix","60%-40%","Deep"
"68","Tissue enhanced: cervix, endometrium 1, smooth muscle",1,68,"68-Tissue enhanced: cervix, endometrium 1, smooth muscle","60%-40%","Deep"
"69","Tissue enhanced: cervix, gallbladder",1,69,"69-Tissue enhanced: cervix, gallbladder","60%-40%","Deep"
"70","Tissue enhanced: cervix, salivary gland",1,70,"70-Tissue enhanced: cervix, salivary gland","60%-40%","Deep"
"71","Tissue enhanced: choroid plexus, fallopian tube, lung, salivary gland",1,71,"71-Tissue enhanced: choroid plexus, fallopian tube, lung, salivary gland","60%-40%","Deep"
"72","Tissue enhanced: choroid plexus, ovary",1,72,"72-Tissue enhanced: choroid plexus, ovary","60%-40%","Deep"
"73","Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue",1,73,"73-Tissue enhanced: choroid plexus, retina, skeletal muscle, tongue","60%-40%","Deep"
"74","Tissue enhanced: endometrium 1",1,74,"74-Tissue enhanced: endometrium 1","60%-40%","Deep"
"75","Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle",1,75,"75-Tissue enhanced: endometrium 1, gallbladder, lymphoid tissue, smooth muscle","60%-40%","Deep"
"76","Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle",1,76,"76-Tissue enhanced: endometrium 1, seminal vesicle, smooth muscle","60%-40%","Deep"
"77","Tissue enhanced: endometrium 1, skeletal muscle",1,77,"77-Tissue enhanced: endometrium 1, skeletal muscle","60%-40%","Deep"
"78","Tissue enhanced: endometrium 1, smooth muscle",1,78,"78-Tissue enhanced: endometrium 1, smooth muscle","60%-40%","Deep"
"79","Tissue enhanced: esophagus",5,79,"79-Tissue enhanced: esophagus","60%-40%","Deep"
"80","Tissue enhanced: esophagus, liver, skin 1",1,80,"80-Tissue enhanced: esophagus, liver, skin 1","60%-40%","Deep"
"81","Tissue enhanced: esophagus, salivary gland, skin 1",1,81,"81-Tissue enhanced: esophagus, salivary gland, skin 1","60%-40%","Deep"
"82","Tissue enhanced: esophagus, salivary gland, skin 1, vagina",1,82,"82-Tissue enhanced: esophagus, salivary gland, skin 1, vagina","60%-40%","Deep"
"83","Tissue enhanced: esophagus, skin 1",1,83,"83-Tissue enhanced: esophagus, skin 1","60%-40%","Deep"
"84","Tissue enhanced: esophagus, skin 1, vagina",1,84,"84-Tissue enhanced: esophagus, skin 1, vagina","60%-40%","Deep"
"85","Tissue enhanced: esophagus, vagina",2,85,"85-Tissue enhanced: esophagus, vagina","60%-40%","Deep"
"86","Tissue enhanced: gallbladder",2,86,"86-Tissue enhanced: gallbladder","60%-40%","Deep"
"87","Tissue enhanced: gallbladder, intestine, kidney",1,87,"87-Tissue enhanced: gallbladder, intestine, kidney","60%-40%","Deep"
"88","Tissue enhanced: gallbladder, liver, placenta, urinary bladder",1,88,"88-Tissue enhanced: gallbladder, liver, placenta, urinary bladder","60%-40%","Deep"
"89","Tissue enhanced: gallbladder, pancreas",1,89,"89-Tissue enhanced: gallbladder, pancreas","60%-40%","Deep"
"90","Tissue enhanced: gallbladder, stomach 1, urinary bladder",1,90,"90-Tissue enhanced: gallbladder, stomach 1, urinary bladder","60%-40%","Deep"
"91","Tissue enhanced: gallbladder, urinary bladder",1,91,"91-Tissue enhanced: gallbladder, urinary bladder","60%-40%","Deep"
"92","Tissue enhanced: heart muscle, liver",1,92,"92-Tissue enhanced: heart muscle, liver","60%-40%","Deep"
"93","Tissue enhanced: heart muscle, skeletal muscle, tongue",1,93,"93-Tissue enhanced: heart muscle, skeletal muscle, tongue","60%-40%","Deep"
"94","Tissue enhanced: intestine",2,94,"94-Tissue enhanced: intestine","60%-40%","Deep"
"95","Tissue enhanced: intestine, kidney",1,95,"95-Tissue enhanced: intestine, kidney","60%-40%","Deep"
"96","Tissue enhanced: intestine, liver",1,96,"96-Tissue enhanced: intestine, liver","60%-40%","Deep"
"97","Tissue enhanced: intestine, lymphoid tissue",1,97,"97-Tissue enhanced: intestine, lymphoid tissue","60%-40%","Deep"
"98","Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder",1,98,"98-Tissue enhanced: intestine, lymphoid tissue, stomach 1, urinary bladder","60%-40%","Deep"
"99","Tissue enhanced: intestine, pancreas, salivary gland, stomach 1",1,99,"99-Tissue enhanced: intestine, pancreas, salivary gland, stomach 1","60%-40%","Deep"
"100","Tissue enhanced: intestine, salivary gland",2,100,"100-Tissue enhanced: intestine, salivary gland","60%-40%","Deep"
"101","Tissue enhanced: intestine, urinary bladder",1,101,"101-Tissue enhanced: intestine, urinary bladder","60%-40%","Deep"
"102","Tissue enhanced: kidney",1,102,"102-Tissue enhanced: kidney","60%-40%","Deep"
"103","Tissue enhanced: kidney, liver",1,103,"103-Tissue enhanced: kidney, liver","60%-40%","Deep"
"104","Tissue enhanced: kidney, lymphoid tissue",1,104,"104-Tissue enhanced: kidney, lymphoid tissue","60%-40%","Deep"
"105","Tissue enhanced: kidney, placenta",1,105,"105-Tissue enhanced: kidney, placenta","60%-40%","Deep"
"106","Tissue enhanced: kidney, skin 1",1,106,"106-Tissue enhanced: kidney, skin 1","60%-40%","Deep"
"107","Tissue enhanced: kidney, thyroid gland",1,107,"107-Tissue enhanced: kidney, thyroid gland","60%-40%","Deep"
"108","Tissue enhanced: kidney, urinary bladder",1,108,"108-Tissue enhanced: kidney, urinary bladder","60%-40%","Deep"
"109","Tissue enhanced: liver",6,109,"109-Tissue enhanced: liver","60%-40%","Deep"
"110","Tissue enhanced: liver, lung, lymphoid tissue",1,110,"110-Tissue enhanced: liver, lung, lymphoid tissue","60%-40%","Deep"
"111","Tissue enhanced: liver, pancreas",1,111,"111-Tissue enhanced: liver, pancreas","60%-40%","Deep"
"112","Tissue enhanced: liver, placenta",1,112,"112-Tissue enhanced: liver, placenta","60%-40%","Deep"
"113","Tissue enhanced: lung",4,113,"113-Tissue enhanced: lung","60%-40%","Deep"
"114","Tissue enhanced: lung, lymphoid tissue",2,114,"114-Tissue enhanced: lung, lymphoid tissue","60%-40%","Deep"
"115","Tissue enhanced: lung, lymphoid tissue, skin 1",1,115,"115-Tissue enhanced: lung, lymphoid tissue, skin 1","60%-40%","Deep"
"116","Tissue enhanced: lymphoid tissue",29,116,"116-Tissue enhanced: lymphoid tissue","60%-40%","Deep"
"117","Tissue enhanced: lymphoid tissue, placenta",1,117,"117-Tissue enhanced: lymphoid tissue, placenta","60%-40%","Deep"
"118","Tissue enhanced: lymphoid tissue, smooth muscle",1,118,"118-Tissue enhanced: lymphoid tissue, smooth muscle","60%-40%","Deep"
"119","Tissue enhanced: ovary",1,119,"119-Tissue enhanced: ovary","60%-40%","Deep"
"120","Tissue enhanced: ovary, pancreas",1,120,"120-Tissue enhanced: ovary, pancreas","60%-40%","Deep"
"121","Tissue enhanced: ovary, pituitary gland",1,121,"121-Tissue enhanced: ovary, pituitary gland","60%-40%","Deep"
"122","Tissue enhanced: parathyroid gland",1,122,"122-Tissue enhanced: parathyroid gland","60%-40%","Deep"
"123","Tissue enhanced: placenta",7,123,"123-Tissue enhanced: placenta","60%-40%","Deep"
"124","Tissue enhanced: retina",2,124,"124-Tissue enhanced: retina","60%-40%","Deep"
"125","Tissue enhanced: salivary gland",1,125,"125-Tissue enhanced: salivary gland","60%-40%","Deep"
"126","Tissue enhanced: salivary gland, skin 1",1,126,"126-Tissue enhanced: salivary gland, skin 1","60%-40%","Deep"
"127","Tissue enhanced: skeletal muscle",3,127,"127-Tissue enhanced: skeletal muscle","60%-40%","Deep"
"128","Tissue enhanced: skeletal muscle, tongue",3,128,"128-Tissue enhanced: skeletal muscle, tongue","60%-40%","Deep"
"129","Tissue enhanced: skin 1",4,129,"129-Tissue enhanced: skin 1","60%-40%","Deep"
"130","Tissue enhanced: smooth muscle",1,130,"130-Tissue enhanced: smooth muscle","60%-40%","Deep"
"131","Tissue enhanced: testis",1,131,"131-Tissue enhanced: testis","60%-40%","Deep"
"132","Tissue enhanced: urinary bladder",2,132,"132-Tissue enhanced: urinary bladder","60%-40%","Deep"
"133","Tissue enriched: adrenal gland",1,133,"133-Tissue enriched: adrenal gland","60%-40%","Deep"
"134","Tissue enriched: bone marrow",6,134,"134-Tissue enriched: bone marrow","60%-40%","Deep"
"135","Tissue enriched: brain",12,135,"135-Tissue enriched: brain","60%-40%","Deep"
"136","Tissue enriched: epididymis",1,136,"136-Tissue enriched: epididymis","60%-40%","Deep"
"137","Tissue enriched: esophagus",1,137,"137-Tissue enriched: esophagus","60%-40%","Deep"
"138","Tissue enriched: heart muscle",1,138,"138-Tissue enriched: heart muscle","60%-40%","Deep"
"139","Tissue enriched: intestine",4,139,"139-Tissue enriched: intestine","60%-40%","Deep"
"140","Tissue enriched: kidney",2,140,"140-Tissue enriched: kidney","60%-40%","Deep"
"141","Tissue enriched: liver",8,141,"141-Tissue enriched: liver","60%-40%","Deep"
"142","Tissue enriched: lung",1,142,"142-Tissue enriched: lung","60%-40%","Deep"
"143","Tissue enriched: lymphoid tissue",11,143,"143-Tissue enriched: lymphoid tissue","60%-40%","Deep"
"144","Tissue enriched: pancreas",6,144,"144-Tissue enriched: pancreas","60%-40%","Deep"
"145","Tissue enriched: parathyroid gland",1,145,"145-Tissue enriched: parathyroid gland","60%-40%","Deep"
"146","Tissue enriched: pituitary gland",1,146,"146-Tissue enriched: pituitary gland","60%-40%","Deep"
"147","Tissue enriched: placenta",3,147,"147-Tissue enriched: placenta","60%-40%","Deep"
"148","Tissue enriched: retina",1,148,"148-Tissue enriched: retina","60%-40%","Deep"
"149","Tissue enriched: salivary gland",2,149,"149-Tissue enriched: salivary gland","60%-40%","Deep"
"150","Tissue enriched: skin 1",3,150,"150-Tissue enriched: skin 1","60%-40%","Deep"
"151","Tissue enriched: stomach 1",1,151,"151-Tissue enriched: stomach 1","60%-40%","Deep"
"152","Tissue enriched: testis",1,152,"152-Tissue enriched: testis","60%-40%","Deep"
"153","Tissue enriched: urinary bladder",1,153,"153-Tissue enriched: urinary bladder","60%-40%","Deep"
